twitter handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@hinsonashley,"April 14, 2020 at 02:01PM",ICYMI:  Yesterday I joined Simon Conway  -@SimonRadio1776 - with State Senator Liz Mathis to discuss how we're working together across party lines to serve our constituents and combat #COVID19. Listen here:  https://t.co/euHBZWYW4s,http://twitter.com/hinsonashley/status/1250121993065771017,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 14, 2020 at 03:04PM","RT @Team_HinsonIA: ""Ashley is a dedicated public servant and the exact right candidate to take back #IA01.  She is running to do something, not be someone.  She is a proven conservative, a proven winner, and an extraordinary communicator. Let’s.  Go.  Win."" - @jackwhitver #IA01",http://twitter.com/hinsonashley/status/1250137749312733184,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 14, 2020 at 04:10PM","RT @CarrieKoelkerIA: Proud to support @hinsonashley  Her efforts, honesty and hard work are unmatched.  She IS the voice we need in Washington - always putting people over politics! An impressive list of additional endorsements announced today. Go @Team_HinsonIA 💪💪💪 https://t.co/yhGt9iM68y",http://twitter.com/hinsonashley/status/1250154589929734144,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 14, 2020 at 09:19PM",RT @hinsonashley: ICYMI:  Yesterday I joined Simon Conway  -@SimonRadio1776 - with State Senator Liz Mathis to discuss how we're working together across party lines to serve our constituents and combat #COVID19. Listen here:  https://t.co/euHBZWYW4s,http://twitter.com/hinsonashley/status/1250232200676720641,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 15, 2020 at 03:04PM",#Covid19 has drastically changed the nature of campaigns. We want to make sure we don’t miss an opportunity to hear from you. Please send Ashley a brief message on what issues you care most about. https://t.co/IrAfHtlRvQ #IA01,http://twitter.com/hinsonashley/status/1250500280954880001,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 16, 2020 at 11:35AM","Now is not the time for Speaker Pelosi and Democratic House Leadership to be playing political games. People must come first. Workers and small businesses need assistance now.  The emergency economic relief program should be extended immediately.  #IA01 
https://t.co/kK3heziDrD",http://twitter.com/hinsonashley/status/1250810046964957186,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 16, 2020 at 04:07PM","This is a challenging time for all of us in Eastern Iowa but especially for our health care heroes, our seniors, and our plant workers. It will take all of us working together to stay healthy.
https://t.co/5hq2SN23H1",http://twitter.com/hinsonashley/status/1250878470323941377,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 17, 2020 at 04:06PM","1/2 - At her press conference, @IAGovernor announced that schools will remain closed for the remainder of the school year out of an abundance of caution. I’m thankful for all of the school teachers and staff across the state who have worked incredibly hard to continue to provide",http://twitter.com/hinsonashley/status/1251240539250470916,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 17, 2020 at 04:06PM","2/2 our students with learning opportunities, even while schools are closed. Iowans are strong and we will get through this difficult time together! https://t.co/WrJ81NyPxg",http://twitter.com/hinsonashley/status/1251240540554825728,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 17, 2020 at 04:06PM",RT @WinningForWomen: What are three things @HinsonAshley is doing to keep busy during quarantine? https://t.co/RvmTQJ3R7o,http://twitter.com/hinsonashley/status/1251240577557028865,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 17, 2020 at 04:06PM","RT @WinningForWomen: As an Iowa State Representative, @HinsonAshley is working hard on behalf of her constituents to ensure they’re getting the support and information they need to stay safe during the #coronavirus pandemic. Learn more about what she’s doing ⬇️ https://t.co/bUD6OYTrF7",http://twitter.com/hinsonashley/status/1251240623572750337,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 17, 2020 at 04:06PM",RT @WinningForWomen: Here are three ways @HinsonAshley says you can help your community combat #COVID19US https://t.co/R4xy0SFpFV,http://twitter.com/hinsonashley/status/1251240631306985472,,,FALSE,0,,,FALSE,0
